,0
0,6FRLCMO5TUHTexlWo8ym1W
1,0s3nnoMeVWz3989MkNQiRf
2,7dt6x5M1jzdTEt8oCbisTK
3,2G7V7zsVDxg1yRsu7Ew9RJ
4,1jo3TwNGCXfNdB5uba3ZVv
5,2xLMifQCjDGFmkHkpNLD9h
6,58q2HKrzhC3ozto2nDdN4z
7,2E124GmJRnBJuXbTb4cPUB
8,4S8d14HvHb70ImctNgVzQQ
9,55S2PQgSMYAhgoTCcGCDfw
10,5IaHrVsrferBYDm0bDyABy
11,45Egmo7icyopuzJN0oMEdk
12,0Dn40gxVCMo5TkgS8Ik18Q
13,4zIO3ilp5HvTeK3HJHxhMP
14,2dpaYNEQHiRxtZbfNsse99
15,0TlLq3lA83rQOYtrqBqSct
16,5WvAo7DNuPRmk4APhdPzi8
17,7noud145AHZGg74vpWOsCa
18,4hQ6UGyWQIGJmHSo0J88JW
19,5OCJzvD7sykQEKHH7qAC3C
20,4E3qImtJzRqLt8ZZyLceOE
21,6vN77lE9LK6HP2DewaN6HZ
22,0At2qAoaVjIwWNAqrscXli
23,0Fpen1PTuEnCmOJtUU9Iud
24,1BxkZE73h9BN3qwuA15TA3
25,0ZNrc4kNeQYD9koZ3KvCsy
26,0d2iYfpKoM0QCKvcLCkBao
27,60SdxE8apGAxMiRrpbmLY0
28,6NFyWDv5CjfwuzoCkw47Xf
29,7iDa6hUg2VgEL1o1HjmfBn
30,3QybPutx0Tjk472bBKjNWn
31,2qT1uLXPVPzGgFOx4jtEuo
32,3ee8Jmje8o58CHK66QrVC2
33,1wjzFQodRWrPcQ0AnYnvQ9
34,3swc6WTsr7rl9DqQKQA55C
35,04ZTP5KsCypmtCmQg5tH9R
36,09IStsImFySgyp0pIQdqAc
37,0QIjsbm2fh1cJ45XO9eGqq
38,3CA9pLiwRIGtUBiMjbZmRw
39,63TyoT9Ee03rQxv8xmdJ2l
40,5cGpjfgAvidLy6znwkCxkP
41,1co0puPTYvqAdUEjFOjne9
42,4VUwkH455At9kENOfzTqmF
43,7Il2yWQmsqKgSkLQvHTPUI
44,6DCZcSspjsKoFjzjrWoCdn
45,1rqqCSm0Qe4I9rUvWncaom
46,04MLEeAMuV9IlHEsD8vF6A
47,698eQRku24PIYPQPHItKlA
48,5DfWF0jqMgZDCiu9zJENTA
49,33471tzU1VghDg9zNgGRpz
50,0OgGn1ofaj55l2PcihQQGV
51,2oPCR02nduYVpj7CTfsA0d
52,72b0ANL1ZiV71OiZRs0Lny
53,4kWO6O1BUXcZmaxitpVUwp
54,2374M0fQpWi3dLnB54qaLX
55,17jeLyQcEUmKv3MXeEo79k
56,7dt6x5M1jzdTEt8oCbisTK
57,4OafepJy2teCjYJbvFE60J
58,53yTYusPQJ1AApL1hi0Dnc
59,7uVkYr8gxcPEgqohvynpdN
60,6qNALlmZa1ESnCxJmXE1K9
61,07FkzikE6FuHIa8Ma7zJGc
62,6GBndDk0OEpDkmKoSBJyyK
63,1N7YeVU0ZwAFbOhwM61ef6
64,33tNYw9oMtSkGe27NpgS64
65,4lFfMRH0YH4pW5gczTDbNC
66,3N2AIfVOq6NiTcWHIP4Oco
67,5N5k9nd479b1xpDZ4usjrg
68,5c0Vl3yklw5WX9YI36dPLd
69,6Poyf51k7W3NKnsGwAI90B
70,5a8RPWgKSmcGBGcffmIrUi
71,0XySogm94T51XF5F2jumXm
72,58QhkbaAkLFnn7JwAnAato
73,15kQGEy89K8deJcZVFEn0N
74,1RMJOxR6GRPsBHL8qeC2ux
75,0ZNrc4kNeQYD9koZ3KvCsy
76,7q7jyVU0f0hnod8tsaUmxg
77,4Vxu50qVrQcycjRyJQaZLC
78,3DV49ruvI5Sl6iisPZAc2c
79,2dwoqUYTy6SOy1dFqcTndC
80,14mHfNsSHN0FbLftyjrV9g
81,1kFBLqkTuNKlspkJ1EOGjN
82,7d6XJZjnm7iWcKwYL9z5kC
83,7lAK3oHbfEnvUQWosrMMpR
84,6CyJlVAEFlNdpggOLanytL
85,2ZYbPXhx4OCmdTsMThbSEW
86,7wBJfHzpfI3032CSD7CE2m
87,7ATATJztoWLcqDAcVVof0C
88,29tc0GbW0pTSBZSCZF3NWk
89,5bJ1DrEM4hNCafcDd1oxHx
90,6Hgh47WXVKtXN5zGOu0hjI
91,0PpfPNtQOOvbMNVJijTQj0
92,5sIx4BlfYGuZeSLF40N9GH
93,2VX37A1p7tkvrH2UJwAU0T
94,2jt2WxXMCD4zjACthkJQVE
95,2VdT56BGpdqNHUgOe1j5vc
96,0B08s1tLWCXoFmGP0vIubM
97,7IBSffWIu7P2MC7kMwy2FM
98,6kPJZM97LwdG9QIsT7khp6
99,1s2B5cndbqK8rPJEIcKJRQ
